file_path,modulation_type,response,pred,is_true,,,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-0.08dB__058_20250127_145951.npy,16PAM,"OQPSK


Answer: O",OQPSK,FALSE,0.126,FALSE,122,0.143507973
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-0.14dB__059_20250127_164735.npy,16PAM,"4PAM

Okay, so Ive",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-0.16dB__076_20250127_145955.npy,16PAM,"4PAM

Wait, no, I",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-0.19dB__045_20250127_145948.npy,16PAM,"4PAM


Alright, let",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-0.20dB__091_20250127_145958.npy,16PAM,"4PAM

Okay, Im trying",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-0.32dB__083_20250127_145957.npy,16PAM,"4PAM


The modulation type",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-0.34dB__059_20250127_145951.npy,16PAM,"4PAM

Okay, so I need",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-0.37dB__038_20250127_145947.npy,16PAM,"8ASK

Okay, so Im trying",8ASK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-0.58dB__095_20250127_164745.npy,16PAM,"4PAM

To determine the modulation type",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-0.76dB__081_20250127_145956.npy,16PAM,"4PAM

To determine the modulation type",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-0.83dB__011_20250127_145941.npy,16PAM,"8PSK

But wait, let me",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-0.88dB__077_20250127_164740.npy,16PAM,"8PSK

Okay, I need to",,FALSE,,TRUE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-0.89dB__044_20250127_145948.npy,16PAM,"OQPSK


The modulation type",OQPSK,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-1.16dB__069_20250127_164738.npy,16PAM,"4PAM

Okay, so Im",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-1.26dB__039_20250127_164730.npy,16PAM,"4PAM


Answer:",4PAM,FALSE,,FALSE,,
../../data/unlabeled_10k/test/noiselessSignal/16PAM_-1.27dB__033_20250127_164729.npy,16PAM,"OQPSK

Wait, the user is",OQPSK,FALSE,,FALSE,,
